Sample	Dataset	sex	superpop
HG03787	1KGP-LRSC	XX	SAS
HG03788	1KGP-LRSC	XY	SAS
HG03804	HPRC	XX	SAS
HG03808	1KGP-LRSC	XX	SAS
HG03815	1KGP-LRSC	XY	SAS
HG03816	HPRC	XX	SAS
HG03831	HPRC	XX	SAS
HG03834	HPRC	XX	SAS
HG03849	1KGP-LRSC	XX	SAS
HG03851	1KGP-LRSC	XY	SAS
HG03866	1KGP-LRSC	XY	SAS
HG03874	HPRC	XX	SAS
HG03875	1KGP-LRSC	XY	SAS
HG03884	1KGP-LRSC	XX	SAS
HG03887	1KGP-LRSC	XY	SAS
HG03902	1KGP-LRSC	XY	SAS
HG03911	1KGP-LRSC	XY	SAS
HG03920	1KGP-LRSC	XY	SAS
HG03927	HPRC	XX	SAS
HG03942	HPRC	XY	SAS
HG03945	1KGP-LRSC	XX	SAS
HG03953	1KGP-LRSC	XY	SAS
HG03960	1KGP-LRSC	XY	SAS
HG03991	1KGP-LRSC	XY	SAS
HG03998	1KGP-LRSC	XY	SAS
HG04001	1KGP-LRSC	XX	SAS
HG04002	1KGP-LRSC	XY	SAS
HG04019	1KGP-LRSC	XY	SAS
HG04026	1KGP-LRSC	XX	SAS
HG04033	1KGP-LRSC	XY	SAS
HG04038	1KGP-LRSC	XX	SAS
HG04047	1KGP-LRSC	XX	SAS
HG04056	1KGP-LRSC	XY	SAS
HG04061	1KGP-LRSC	XY	SAS
HG04076	1KGP-LRSC	XX	SAS
HG04094	1KGP-LRSC	XY	SAS
HG04107	1KGP-LRSC	XY	SAS
HG04115	HPRC	XY	SAS
HG04157	HPRC	XY	SAS
HG04160	HPRC	XY	SAS
HG04161	1KGP-LRSC	XY	SAS
HG04164	1KGP-LRSC	XY	SAS
HG04176	1KGP-LRSC	XY	SAS
HG04184	HPRC	XX	SAS
HG04187	HPRC	XY	SAS
HG04199	HPRC	XY	SAS
HG04202	1KGP-LRSC	XX	SAS
HG04204	HPRC	XY	SAS
